,0,ship_id,ship_time,ship_lat,ship_lon,ship_depth,ship_temp,turtle_id,turtle_time,turtle_lat,turtle_lon,turtle_depth,turtle_temp
0,0,HB0905   ,2009-09-21 08:04:00,38.3533,-74.42,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0","20.9,20.9,20.9,20.9,20.9,20.9,20.96,21.12,21.34,21.56,21.62,21.67,21.7,21.76,21.8,21.84,21.89,21.98,22.03,22.1,22.11,22.11,22.09,22.09,22.01,22.03,22.17,22.18,21.96,21.83,21.8,21.79,21.78,21.78,21.77,21.77,21.77,21.77",97624,2009-09-23 09:12:04,38.31642914,-74.41136932,"3,6,8,10,12,15,16,18,19,20,23,27","20.0699,20.0355,19.9438,19.7204,19.1244,19.07,19.2132,19.9553,20.3507,20.9895,21.4967,21.935"
1,1,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 10:01:27,38.62894058,-73.72619629,"3,21,26,28,29,30,31,32,34,35,40,53","23.245,22.9478,22.3657,21.3006,20.1735,18.0928,15.5168,13.5723,11.7269,11.2439,10.9962,10.86"
2,2,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 10:14:36,38.62945938,-73.72276306,"3,23,27,29,30,31,32,34,35,36,37,52","23.235,22.9358,22.7863,22.4996,22.1007,21.278,19.5578,14.8211,13.3503,11.5428,10.957,10.77"
3,3,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 11:09:04,38.62955093,-73.71408081,"3,22,27,28,29,30,31,32,33,35,37,52","23.02,22.7217,22.1872,21.7894,20.9193,19.3532,17.1655,15.5993,13.7472,11.0251,10.59,10.59"
4,4,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 14:15:21,38.62680817,-73.67279053,"3,20,24,26,27,28,30,31,33,34,37,46","23.035,22.7274,22.1251,21.2153,20.3182,19.0111,15.0384,13.7826,10.8223,10.4635,10.2584,10.22"
5,5,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 15:49:53,38.61566162,-73.65830231,"3,18,21,23,24,25,26,27,28,29,34,46","23.035,22.6766,22.1774,20.7694,19.3102,16.4046,13.243,11.4382,10.8366,10.4782,10.2734,10.235"
6,6,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 18:08:47,38.60604858,-73.65393829,"3,17,21,23,25,26,27,28,30,33,47,54","22.855,22.5982,21.9947,20.5823,18.3225,16.2552,13.3277,11.6714,10.657,10.3617,10.015,10.015"
7,7,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 18:08:47,38.60604858,-73.65393829,"3,19,24,25,27,29,30,31,32,34,38,54","22.5592,22.61,22.0514,21.6579,19.6648,16.2752,13.495,11.7558,11.1972,10.6005,10.207,9.915"
8,8,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 20:09:39,38.6196785,-73.68264008,"3,18,23,25,26,28,29,30,31,32,33,47","22.93,22.5772,21.8842,20.6998,19.3642,14.9668,13.1398,11.6026,11.0104,10.5694,10.519,10.33"
9,9,HB0905   ,2009-09-14 02:49:00,38.6017,-73.7017,"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0","23.01,23.01,23.01,23.01,23.0,23.0,23.01,23.01,23.01,23.0,22.97,22.95,22.94,22.91,22.81,22.47,22.2,21.58,21.3,21.26,20.95,20.63,20.42,19.68,18.74,17.56,15.67,11.97,10.85,10.61,10.35,10.1,10.07,10.06,10.05,10.01,9.99,9.97,9.92,9.91,9.9,9.9,9.88,9.83,9.77,9.74,9.72,9.7,9.68,9.66,9.66",97623,2009-09-16 22:12:35,38.63663101,-73.70990753,"3,18,21,23,24,25,26,27,28,29,34,49","22.945,22.5447,22.2069,21.7565,21.1185,19.8926,17.3906,13.8627,11.7486,10.7227,10.4725,10.435"
